timestamp,phase,inbound_pps,cpu_system_pct,tcp_total,tcp_syn_recv,response_time_sec,ddos_threat_score
2026-04-29 20:16:35+00,baseline,,2.007084,,0,,0.33693330000000005
2026-04-29 20:16:36+00,baseline,,,,,,
2026-04-29 20:16:37+00,baseline,,,8,,,
2026-04-29 20:16:38+00,baseline,17,,,,,
2026-04-29 20:16:39+00,baseline,,,,,,
2026-04-29 20:16:40+00,baseline,,,,0,,
2026-04-29 20:16:41+00,baseline,,,,,0.092544,
2026-04-29 20:16:42+00,baseline,,,8,,,
2026-04-29 20:16:43+00,baseline,20,,,,,
2026-04-29 20:16:44+00,baseline,,,,,,
2026-04-29 20:16:45+00,baseline,,1.844302,,0,,0.16996
2026-04-29 20:16:46+00,baseline,,,,,,
2026-04-29 20:16:47+00,baseline,,,6,,,
2026-04-29 20:16:48+00,baseline,17,,,,,
2026-04-29 20:16:49+00,baseline,,,,,,
2026-04-29 20:16:50+00,baseline,,,,0,,
2026-04-29 20:16:51+00,baseline,,,,,0.045206,
2026-04-29 20:16:52+00,baseline,,,7,,,
2026-04-29 20:16:53+00,baseline,24,,,,,
2026-04-29 20:16:54+00,baseline,,,,,,
2026-04-29 20:16:55+00,baseline,,1.924198,,0,,0.1632924
2026-04-29 20:16:56+00,baseline,,,,,,
2026-04-29 20:16:57+00,baseline,,,6,,,
2026-04-29 20:16:58+00,baseline,40,,,,,
2026-04-29 20:16:59+00,baseline,,,,,,
2026-04-29 20:17:00+00,baseline,,,,0,,
2026-04-29 20:17:01+00,baseline,,,,,0.056821,
2026-04-29 20:17:02+00,baseline,,,7,,,
2026-04-29 20:17:03+00,baseline,20,,,,,
2026-04-29 20:17:04+00,baseline,,,,,,
2026-04-29 20:17:05+00,baseline,,2.029268,,0,,0.1628154
2026-04-29 20:17:06+00,baseline,,,,,,
2026-04-29 20:17:07+00,baseline,,,6,,,
2026-04-29 20:17:08+00,baseline,15,,,,,
2026-04-29 20:17:09+00,baseline,,,,,,
2026-04-29 20:17:10+00,baseline,,,,0,,
2026-04-29 20:17:11+00,baseline,,,,,,
2026-04-29 20:17:12+00,baseline,,,7,,0.028483,
2026-04-29 20:17:13+00,baseline,18,,,,,
2026-04-29 20:17:14+00,baseline,,,,,,
2026-04-29 20:17:15+00,baseline,,2.158132,,0,,0.1557478
2026-04-29 20:17:16+00,baseline,,,,,,
2026-04-29 20:17:17+00,baseline,,,6,,,
2026-04-29 20:17:18+00,baseline,17,,,,,
2026-04-29 20:17:19+00,baseline,,,,,,
2026-04-29 20:17:20+00,baseline,,,,0,,
2026-04-29 20:17:21+00,baseline,,,,,0.007316,
2026-04-29 20:17:22+00,baseline,,,7,,,
2026-04-29 20:17:23+00,baseline,19,,,,,
2026-04-29 20:17:25+00,baseline,,2.208637,,0,,0.1522144
2026-04-29 20:17:26+00,baseline,,,,,,
2026-04-29 20:17:27+00,baseline,,,6,,,
2026-04-29 20:17:28+00,baseline,21,,,,,
2026-04-29 20:17:29+00,baseline,,,,,,
2026-04-29 20:17:30+00,baseline,,,,0,,
2026-04-29 20:17:31+00,baseline,,,,,0.091151,
2026-04-29 20:17:32+00,baseline,,,7,,,
2026-04-29 20:17:33+00,baseline,24,,,,,
2026-04-29 20:17:34+00,baseline,,,,,,
2026-04-29 20:17:35+00,baseline,,2.194543,,0,,0.1724814
2026-04-29 20:17:36+00,baseline,,,,,,
2026-04-29 20:17:37+00,baseline,,,6,,,
2026-04-29 20:17:38+00,baseline,17,,,,,
2026-04-29 20:17:39+00,baseline,,,,,,
2026-04-29 20:17:40+00,baseline,,,,0,,
2026-04-29 20:17:41+00,baseline,,,,,0.004252,
2026-04-29 20:17:42+00,baseline,,,7,,,
2026-04-29 20:17:43+00,baseline,22,,,,,
2026-04-29 20:17:44+00,baseline,,,,,,
2026-04-29 20:17:45+00,baseline,,2.303873,,0,,0.1003813
2026-04-29 20:17:46+00,baseline,,,,,,
2026-04-29 20:17:47+00,baseline,,,6,,,
2026-04-29 20:17:48+00,baseline,17,,,,,
2026-04-29 20:17:49+00,baseline,,,,,,
2026-04-29 20:17:50+00,baseline,,,,0,,
2026-04-29 20:17:52+00,baseline,,,7,,,
2026-04-29 20:17:53+00,baseline,21,,,,0.033181,
2026-04-29 20:17:54+00,baseline,,,,,,
2026-04-29 20:17:55+00,baseline,,2.289924,,0,,0.10546710000000001
2026-04-29 20:17:56+00,baseline,,,,,,
2026-04-29 20:17:57+00,baseline,,,6,,,
2026-04-29 20:17:58+00,baseline,25,,,,,
2026-04-29 20:17:59+00,baseline,,,,,,
2026-04-29 20:18:00+00,baseline,,,,0,,
2026-04-29 20:18:01+00,baseline,,,,,0.064014,
2026-04-29 20:18:02+00,baseline,,,7,,,
2026-04-29 20:18:03+00,baseline,19,,,,,
2026-04-29 20:18:04+00,baseline,,,,,,
2026-04-29 20:18:05+00,baseline,,2.342342,,0,,0.11023370000000002
2026-04-29 20:18:06+00,baseline,,,,,,
2026-04-29 20:18:07+00,baseline,,,6,,,
2026-04-29 20:18:08+00,baseline,16,,,,,
2026-04-29 20:18:09+00,baseline,,,,,,
2026-04-29 20:18:10+00,baseline,,,,0,,
2026-04-29 20:18:11+00,baseline,,,,,0.021315,
2026-04-29 20:18:12+00,baseline,,,6,,,
2026-04-29 20:18:13+00,baseline,17,,,,,
2026-04-29 20:18:14+00,baseline,,,,,,
2026-04-29 20:18:15+00,baseline,,2.283654,,0,,0.1002939
2026-04-29 20:18:16+00,baseline,,,,,,
2026-04-29 20:18:18+00,baseline,17,,6,,,
2026-04-29 20:18:19+00,baseline,,,,,,
2026-04-29 20:18:20+00,baseline,,,,0,,
2026-04-29 20:18:21+00,baseline,,,,,,
2026-04-29 20:18:22+00,baseline,,,7,,0.019477,
2026-04-29 20:18:23+00,baseline,18,,,,,
2026-04-29 20:18:24+00,baseline,,,,,,
2026-04-29 20:18:25+00,baseline,,2.191235,,0,,0.1006263
2026-04-29 20:18:26+00,baseline,,,,,,
2026-04-29 20:18:27+00,baseline,,,6,,,
2026-04-29 20:18:28+00,baseline,21,,,,,
2026-04-29 20:18:29+00,baseline,,,,,,
2026-04-29 20:18:30+00,baseline,,,,0,,
